IMG_20260618_124549.jpg,164180.09,-4918986.82,305.00,4.51,-0.21,-0.13
IMG_20260618_124745.jpg,164180.76,-4918979.20,307.00,1.78,-0.27,-0.15
IMG_20260618_124743.jpg,164177.69,-4918980.51,308.00,1.46,-0.03,-0.09
IMG_20260618_124551.jpg,164178.44,-4918986.43,304.00,4.55,-0.24,-0.07
IMG_20260618_124547.jpg,164183.31,-4918986.54,305.00,4.39,-0.16,-0.17
IMG_20260618_124821.jpg,164181.70,-4918988.82,304.00,4.71,0.03,-0.18
IMG_20260618_124553.jpg,164176.19,-4918987.03,304.00,5.25,-0.33,0.03
IMG_20260618_124741.jpg,164173.27,-4918981.39,309.00,1.72,0.02,0.01
IMG_20260618_124823.jpg,164178.24,-4918989.65,303.00,4.90,0.23,-0.03
IMG_20260618_124819.jpg,164183.95,-4918988.16,304.00,5.11,0.10,-0.19
